incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident description,support group,tower group,domain group,priority,urgency,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001509654,IBERIA,IBERIA,01/04/2021 01:02,06/04/2021 07:23,Closed,Sincronizar contraseña del PC con la contraseña de dominio,OAM/OIM/OVD/OIF/OSB Support,Application Tower,Mantenimiento Herramientas IT & DBAs,Media,3-Medio,,Mantenimiento Herramientas IT & DBAs,INCIDENT,2021-04-10T00:00:00Z,ACCESS FAILURE,,5,EDIFICIO T.M.A. - ALMACENES,Conseguidor TMA (AMIRCM02)
INC000001509691,IBERIA,IBERIA,01/04/2021 10:21,,Assigned,I1_SOC-1980 - I1-CredentialAccess-T1110-FailedLogonsToManyHostsFromSingleHostWindows-SPL001,ServiceNow CMDB Project Team,UNKNOW,UNKNOW,Media,3-Medio,,Unidad Control del Servicio,INCIDENT,2021-04-02T00:00:00Z,SECURITY ISSUE,,30,SIN IDENTIFICAR,
INC000001509634,OTHERS,IAG GBS,01/04/2021 10:43,06/04/2021 11:39,Closed,[GLE001]SAP CFS - RTR module: High Priority Issues update,FINANCE-SUPPORT,Application Tower,FINANCE,Baja,4-Baja,,Mantenimiento Financiero,INCIDENT,2021-04-10T00:00:00Z,SOFTWARE FAILURE,,5,IAG GBS,
INC000001509641,IBERIA,IBERIA,01/04/2021 11:12,01/04/2021 12:20,Closed,LDPHIS ABORT FIN en PROD-C,LDP,Application Tower,FLIGHT OPERATIONS,Media,3-Medio,,Mantenimiento Operaciones,INCIDENT,2021-04-05T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,0,MANDOS,
INC000001509648,OTHERS,IAG GBS,01/04/2021 11:36,12/04/2021 15:12,Closed,[GLE001]SAP CFS - PTP module: ib.invoices.lo unsupported format message,FINANCE-SUPPORT,Application Tower,FINANCE,Baja,4-Baja,,Mantenimiento Financiero,INCIDENT,2021-04-16T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,11,IAG GBS,
INC000001509775,IBERIA,IBERIA,01/04/2021 13:38,,Assigned,"Hi Team, My Iberia user id TCS.KMURUGAIYAN is effectively blocked (frozen) in AD.Kindly check it.so",MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,3-Medio,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-29T00:00:00Z,ACCESS FAILURE,NETWORK ACCESS,30,SIN IDENTIFICAR,
INC000001509800,IBERIA,IBERIA,01/04/2021 14:40,05/04/2021 07:22,Closed,LINUX_sun - 1070_Prd_ibcomURL::Dynatrace::PassengersImplResource::FAILURE_RATE_INCREASED,AM_MTO_IBIS,Application Tower,Ib.com,Media,3-Medio,,MANTENIMIENTO IB.COM,INCIDENT,2021-04-09T00:00:00Z,PERFORMANCE ISSUE,,4,SIN IDENTIFICAR,
INC000001509801,IBERIA,IBERIA,01/04/2021 15:19,,Assigned,CONTRASEÑA USUARIO IBPLUS,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Baja,4-Baja,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,30,SIN IDENTIFICAR,
INC000001509830,OTHERS,IAG GBS,01/04/2021 17:59,02/04/2021 07:05,Closed,CHG0261071-Iberia Emergency Security Patch and Server Reboot,AIRPORT1_ELS,Delivery,Delivery,Alta,2-Alta,,Mantenimiento Aeropuertos,INCIDENT,2021-04-06T00:00:00Z,SOFTWARE FAILURE,,1,IAG GBS,
INC000001509838,IBERIA,IBERIA,01/04/2021 19:47,,Pending,Dispositivo averiado. J5,Mobiles,Network Tower,Network Tower,Baja,4-Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-28T00:00:00Z,TELEPHONY FAILURE,DEVICE,30,TERMINAL T4,DESP.AVIONES_SPV (AHMDC01V)
INC000001509856,IBERIA,IBERIA,01/04/2021 21:34,01/04/2021 21:36,,LINUX_sun - sapasl2.ib : CPU use is 90.84%. Call out to SOPORTE LINUX-SISTEMA OPERATIVO OnCall durin,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,3-Medio,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-01T00:00:00Z,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
