incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident description,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001522907,IBERIA,IBERIA,01/05/2021 03:28,,Assigned,Incidencia en CKI,CKI,Application Tower,PSS,Media,,Mantenimiento Pasaje,INCIDENT,2021-05-01T00:00:00Z,SOFTWARE FAILURE,,0,SIN IDENTIFICAR (Madrid),
INC000001522902,IBERIA,IBERIA,01/05/2021 02:24,,Assigned,QualityResource: Failure rate increase,AM_MTO_IBCOM,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,2021-05-01T00:00:00Z,PERFORMANCE ISSUE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001522887,IBERIA,IBERIA,30/04/2021 22:05,,Assigned,"Ha fallado el job F49O401R en zlc , avisar en horario laboral a USCIBMAM 0005ldjp",USCIBMAM,Application Tower,Cobol Domain,Baja,,Mantenimiento COBOL,INCIDENT,2021-04-30T00:00:00Z,PROCESS FAILURE,BATCH,1,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001522879,IBERIA,IBERIA,30/04/2021 20:39,,Assigned,2021-04-30 13:59:41:881 #602:$Received a NULL or empty message from RESIBER for imaSeqNo:02736720593,RESIBER GARANTIA RSV,Delivery,Delivery,Media,,Mantenimiento Pasaje,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,1,MANDOS,
INC000001522875,IBERIA,IBERIA,30/04/2021 20:35,,Assigned,mc_host=apliweblb mc_host_class=Linux 2.6.18-404.el5 x86_64 mc_host_address=172.21.253.96 mc_object=,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-30T00:00:00Z,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001522872,IBERIA,IBERIA,30/04/2021 20:30,,Assigned,Solicita desbloqueo de usuario SAP.,SAP BASIS,Application Tower,Mantenimiento Dir. Técnica – MRO,Baja,,Mantenimiento Dir. Técnica,INCIDENT,2021-04-30T00:00:00Z,ACCESS FAILURE,PASSWORD RESET,1,ALC AEROPUERTO,TMA MECANICA ALICANTE (AMNLR0AB)
INC000001522865,IBERIA,IBERIA,30/04/2021 19:02,,Pending,imposibilidad de ver la informacion de la llegada y salida de vuelos,SSI,Service Ops Tower,Service Ops Tower,Media,,Unidad Control del Servicio,INCIDENT,2021-04-30T00:00:00Z,DEFAULT,DEFAULT,1,TFN AEROPUERTO,RAMPA TENERIFE NORTE (AHALT0RA)
INC000001522864,IBERIA,IBERIA,30/04/2021 19:20,,In Progress,MFA Multifactor authentication - Ping ID: unpair,WNS Team,UNKNOW,UNKNOW,Media,,Unidad Seguridad Informática,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,TALLER MOTORES,OFERTAS (AMRF0C)
INC000001522858,IBERIA,IBERIA,30/04/2021 18:40,,Assigned,Fallo Peoplesoft: ESPECIE EN LA TAX 2 INCORRECTA POR EL SEGURO MEDICO.,PeopleSoft Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,2021-04-30T00:00:00Z,DATA ISSUE,,1,NEO-MARTINEZ VILLERGAS 49,NÓMINA (3YRN00)
INC000001522857,IBERIA,IBERIA,30/04/2021 18:34,,Assigned,[ICC002] INCIDENCIA LIVE CHAT de Salesforce - Error al solicitar archivo al/a la Cliente,NIIT_MTO_SFC_CRM,Application Tower,Delivery,Media,,Mantenimiento Comercial y CRM,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),CUSTOMER CENTER B2C (ALCO00)
INC000001522854,IBERIA,IBERIA,30/04/2021 17:29,,Assigned,TSClient Unable to access TSC due JavaScript error IB booking system.,JAVA Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR,
INC000001522851,IBERIA,IBERIA,30/04/2021 17:08,,Assigned,[GPR009]INC000001514617,Remedy /BMC Support,Application Tower,Mantenimiento Herramientas IT & DBAs,Baja,,Mantenimiento Herramientas IT & DBAs,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001522839,IBERIA,IBERIA,01/05/2021 00:00,,Assigned,LINUX_sun - Parametro /MEMORY/MEMORY/MEMAppUsablePerc esta en WARNING. Valor: 9.77 mc_host=sacarl2,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-05-01T00:00:00Z,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001522833,IBERIA,IBERIA,30/04/2021 22:00,,Assigned,LINUX_sun - Comprobando conectividad con agente Patrol en el servidor saperlpre2 mc_host=saperlpre2,MONITORIZACION Y DISPONIBILIDAD DE SERVICIOS,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-05-01T00:00:00Z,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001522831,IBERIA,IBERIA,30/04/2021 21:22,,Assigned,LINUX_sun - ibcloged12.ib : Filesystem es_logs occupied 75.00%. Assign to AM_MTO_IBIS. mc_host=ibcl,AM_MTO_IBIS,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,2021-04-30T00:00:00Z,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001522824,IBERIA,IBERIA,30/04/2021 20:55,,Assigned,2021-04-30 20:42:39:603 #602:$Did not receive all Part messages from RESIBER even after 5 minutes; r,RESIBER GARANTIA SYS,Delivery,Delivery,Media,,Mantenimiento Pasaje,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,1,MANDOS,
INC000001522817,IBERIA,IBERIA,30/04/2021 19:11,,Assigned,[GPR009] error de autenticación,Remedy /BMC Support,Application Tower,Mantenimiento Herramientas IT & DBAs,Baja,,Mantenimiento Herramientas IT & DBAs,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR,
INC000001522816,IBERIA,IBERIA,30/04/2021 18:23,,Assigned,"NOMBRE DE USUARIO: inmaBJZkp, el icono está en el escritorio pero no se conecta",AIRPORT2,Application Tower,Aeropuertos,Media,,Mantenimiento Aeropuertos,INCIDENT,2021-04-30T00:00:00Z,DEFAULT,DEFAULT,1,BJZ AEROPUERTO,POLIVALENCIA BADAJOZ PAX (AHAS00PZ)
INC000001522812,IBERIA,IBERIA,30/04/2021 18:14,,Assigned,LINUX - 1070_Prd_ibcomURL::Dynatrace::IB_Giftcard::Application Availability mc_host=ibcom041pweb02 m,AM_MTO_IBCOM,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,2021-04-30T00:00:00Z,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001522793,IBERIA,IBERIA,30/04/2021 15:47,,Assigned,"Fallo Peoplesoft: Cálculo de IRPF incorrecto, no le hace estimación al empleado 498341",PeopleSoft Apps Support,Application Tower,RRHH,Media,,Mantenimiento Corporativa y RRHH,INCIDENT,2021-04-30T00:00:00Z,DATA ISSUE,,1,NEO-MARTINEZ VILLERGAS 49,NÓMINA (3YRN00)
INC000001522791,IBERIA,IBERIA,30/04/2021 15:27,,Assigned,LINUX_sun - ibcewlpre.ib : Process splunk is not running.Open an incidence to ESecurity_Splunk (Reme,ESecurity_Splunk,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-30T00:00:00Z,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001522789,IAG CARGO,IBERIA,30/04/2021 15:32,,Pending,[CARGP FENIX ] : En recuperacion routing no existe,CARGO-FENIX,Application Tower,CARGO,Media,,Mantenimiento Cargo,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR,
INC000001522788,IBERIA,IBERIA,30/04/2021 15:22,,Pending,Fallo Software: Problema micrófono y auriculares,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR,
INC000001522784,IBERIA,IBERIA,30/04/2021 14:42,,Assigned,[PAYMENT] Redsys | Transacciones KOs en pago por NODO DESCONECTADO,AM_MTO_IBIS,Application Tower,Ib.com,Baja,,MANTENIMIENTO IB.COM,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001522780,IBERIA,IBERIA,30/04/2021 14:21,,In Progress,[AMO001] - Error de Acceso,Flight OPS IB,Application Tower,FLIGHT OPERATIONS,Baja,,Mantenimiento Operaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,NEO-MARTINEZ VILLERGAS 49,"ING SIST, AVIONICA Y ESTR (APXA03)"
INC000001522770,IBERIA,IBERIA,30/04/2021 14:12,,In Progress,G6 solo muestra Level y no vía MAD,NIIT_MTO_GESING,Application Tower,REVENUE MANAGEMENT,Media,,Mantenimiento Pasaje,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,NEO-MARTINEZ VILLERGAS 49,SISTEMAS GESTION INGRESOS (ACRS00)
INC000001522766,IBERIA,IBERIA,30/04/2021 13:44,,Pending,Fallos en Web Iberia Control de Cargas C08,USCABAM,Application Tower,Cobol Domain,Baja,,Mantenimiento Financiero,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),DISRUPCIONES Y OPS DIGIT (BCLTE0NZ)
INC000001522762,IBERIA,IBERIA,30/04/2021 12:59,,Assigned,[NDCSUPPORT]Error en reemisión de billetes,SERVICIOSRESIBER,Application Tower,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR,
INC000001522758,IBERIA,IBERIA,30/04/2021 12:48,,Assigned,LINUX_sun - ibcloged11.ib : Process elasticsearch-plugins is not running. Call out to SOPORTE LINUX-,AM_MTO_IBIS,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,2021-04-30T00:00:00Z,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001522755,IBERIA,IBERIA,30/04/2021 12:35,,In Progress,MFA Multifactor authentication - Ping ID:,WNS Team,UNKNOW,UNKNOW,Media,,Unidad Seguridad Informática,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,NEO-MARTINEZ VILLERGAS 49,INCIDENCIAS Y SEGUIMIENTO (APSI00)
INC000001522751,IBERIA,IBERIA,30/04/2021 17:16,,Pending,[SABRE FPM] Esta calculando mal lo planes de vuelo,FNO-MANTENIMIENTO TERCEROS,Application Tower,FLIGHT OPERATIONS,Media,,Mantenimiento Operaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,NEO-MARTINEZ VILLERGAS 49,DESPACHO VUELOS_PLANES VU (AVCC00PV)
INC000001522748,IBERIA EXPRESS,IBERIA EXPRESS,30/04/2021 16:53,,Assigned,Iberia Express users ADRIA.MARCEL and RUBEN.RASINES must be deactivated in AD and they are not.,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-30T00:00:00Z,DATA ISSUE,,1,SIN IDENTIFICAR,
INC000001522737,IBERIA,IBERIA,30/04/2021 15:35,,Pending,Fallo Software: no puede entrar en el pc,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR,
INC000001522732,IBERIA,IBERIA,30/04/2021 15:18,,In Progress,P09: Problemas Billetes free,JAVA Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,ENTREHANGARES 4-5,INTERVENCION (AMAC00EF)
INC000001522726,IBERIA,IBERIA,30/04/2021 14:53,,Assigned,[NDCSUPPORT] Timeouts en NDC 29 de Abril entre las 3:01 y 3:07,AM_MTO_IBIS,Application Tower,Ib.com,Baja,,MANTENIMIENTO IB.COM,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR,
INC000001522719,IBERIA,IBERIA,30/04/2021 14:29,,Assigned,ELM [ADM001]: Curso AVSEC,PeopleSoft Apps Support,Application Tower,RRHH,Baja,,Mantenimiento Corporativa y RRHH,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (SAN SALVADOR),C.AMERICA/SALVADOR/RCL (ALSAAASE)
INC000001522712,IBERIA,IBERIA,30/04/2021 14:16,,Pending,Error at NAS: No access,IAG EUC Remote Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,ACCESS FAILURE,,1,TALLER MOTORES,GESTIÓN DE MATERIALES (AMITJ0CB)
INC000001522710,IBERIA,IBERIA,30/04/2021 14:01,,Assigned,[GLE001]SAP CFS - PTP module: Incident IATA invoices no attachement and no charge code,FINANCE-SUPPORT,Application Tower,FINANCE,Baja,,Mantenimiento Financiero,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,DESCONOCIDO,PROCESOS FINANCIEROS (3KEFPF)
INC000001522708,IBERIA,IBERIA,30/04/2021 13:54,,Assigned,Fallo Software:Restablecer cuenta correo corporativo,MICROSOFT OFFICE365,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,PMI AEROPUERTO,RAMPA PMI (AHAKS00M)
INC000001522707,IBERIA,IBERIA,30/04/2021 13:48,,Assigned,LINUX - apamosl : Process er2-agent is Down. mc_host=apamosl mc_host_class=Linux mc_host_address=172,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-30T00:00:00Z,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001522703,IBERIA,IBERIA,30/04/2021 13:57,,Pending,[IMM003] Fallo SAP IA05,USV_DGMI,Application Tower,Mantenimiento Dir. Técnica – MRO,Media,,Mantenimiento Dir. Técnica,INCIDENT,2021-04-30T00:00:00Z,SOFTWARE FAILURE,,1,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),TALLERES DE AVIÓNICA (AMICA1)
INC000001522701,IBERIA,IBERIA,30/04/2021 13:44,,Assigned,TCPSYN scan,ServiceNow CMDB Project Team,UNKNOW,UNKNOW,Baja,,Unidad Control del Servicio,INCIDENT,2021-04-30T00:00:00Z,SECURITY ISSUE.CYBERATTACKS,DENIAL OF SERVICE,1,SIN IDENTIFICAR,
INC000001522700,IBERIA,IBERIA,30/04/2021 13:49,,Pending,Fallo Peoplesoft: INCIDENCIA 477422 PVT CALCULO IBCOMPIT ERRONEO,PeopleSoft Apps Support,Application Tower,RRHH,Media,,Mantenimiento Corporativa y RRHH,INCIDENT,2021-04-30T00:00:00Z,DATA ISSUE,,1,NEO-MARTINEZ VILLERGAS 49,NÓMINA (3YRN00)
INC000001522680,IBERIA,IBERIA,30/04/2021 12:21,,Assigned,Degradation in OPS: Keycloak DataSource usage histogram /OPS: Keycloak cache usage histogram,AM_MTO_IBIS,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,2021-04-30T00:00:00Z,ACCESS FAILURE,INTERNET ACCESS,1,SIN IDENTIFICAR,
